香港✴️,#genre#
Phoenix Chinese Channel,http://120.53.103.239/五七.php?id=1345
Phoenix Info News,http://120.53.103.239/五七.php?id=1346
Astro 欢喜台,http://120.53.103.239/五七.php?id=1347
CCTV-4,http://120.53.103.239/五七.php?id=1348

韓國✴️,#genre#
KBS 1,http://120.53.103.239/五七.php?id=1678
KBS 2,http://120.53.103.239/五七.php?id=1679
KBS Drama,http://120.53.103.239/五七.php?id=1680
KBS Story,http://120.53.103.239/五七.php?id=1681
KBS Life,http://120.53.103.239/五七.php?id=1682
KBS Joy,http://120.53.103.239/五七.php?id=1683
KBS Kids,http://120.53.103.239/五七.php?id=1684
KBS World,http://120.53.103.239/五七.php?id=1685
KBS News,http://120.53.103.239/五七.php?id=1686
KBC SBS,http://120.53.103.239/五七.php?id=1687
K-Star,http://120.53.103.239/五七.php?id=1688
KoreaTV,http://120.53.103.239/五七.php?id=1689
SBS,http://120.53.103.239/五七.php?id=1690
SBS Plus,http://120.53.103.239/五七.php?id=1691
SBS funE,http://120.53.103.239/五七.php?id=1692
SBS M,http://120.53.103.239/五七.php?id=1693
SBS Biz,http://120.53.103.239/五七.php?id=1694
SK Stoa,http://120.53.103.239/五七.php?id=1695
MBC,http://120.53.103.239/五七.php?id=1696
MBCEvery1,http://120.53.103.239/五七.php?id=1697
MBC M,http://120.53.103.239/五七.php?id=1698
MBCON,http://120.53.103.239/五七.php?id=1699
MBCDrama,http://120.53.103.239/五七.php?id=1700
MBCEntShow24,http://120.53.103.239/五七.php?id=1701
JTBC,http://120.53.103.239/五七.php?id=1702
JTBC Drama,http://120.53.103.239/五七.php?id=1703
ArirangKorea,http://120.53.103.239/五七.php?id=1704
Channel A,http://120.53.103.239/五七.php?id=1705
Channel A Plus,http://120.53.103.239/五七.php?id=1706
MBN,http://120.53.103.239/五七.php?id=1707
TV Chosun,http://120.53.103.239/五七.php?id=1708
TV Chosun2,http://120.53.103.239/五七.php?id=1709
YTN,http://120.53.103.239/五七.php?id=1710
YonhapNewsTV,http://120.53.103.239/五七.php?id=1711
tVN,http://120.53.103.239/五七.php?id=1712
tVN Story,http://120.53.103.239/五七.php?id=1713
tVN Show,http://120.53.103.239/五七.php?id=1714
M NET,http://120.53.103.239/五七.php?id=1715
OCN,http://120.53.103.239/五七.php?id=1716
OCN Movies,http://120.53.103.239/五七.php?id=1717
The Movie,http://120.53.103.239/五七.php?id=1718
PLAYY Well,http://120.53.103.239/五七.php?id=1719
PLAYY Action Movie,http://120.53.103.239/五七.php?id=1720
PLAYY Premium Movie,http://120.53.103.239/五七.php?id=1721
INDIE Film,http://120.53.103.239/五七.php?id=1722
Catch ON,http://120.53.103.239/五七.php?id=1723
FTV,http://120.53.103.239/五七.php?id=1724
BadukTV,http://120.53.103.239/五七.php?id=1725
TVAnimalFarm,http://120.53.103.239/五七.php?id=1726
KBSN Sports,http://120.53.103.239/五七.php?id=1727
MBC Sports+,http://120.53.103.239/五七.php?id=1728
SBS Sports,http://120.53.103.239/五七.php?id=1729
Spotv,http://120.53.103.239/五七.php?id=1730
Spotv 2,http://120.53.103.239/五七.php?id=1731
JTBC Golf&SP,http://120.53.103.239/五七.php?id=1732
SKY Sports,http://120.53.103.239/五七.php?id=1733
JTBC Golf,http://120.53.103.239/五七.php?id=1734
SBS Golf,http://120.53.103.239/五七.php?id=1735
SBS Golf2,http://120.53.103.239/五七.php?id=1736
Anibox,http://120.53.103.239/五七.php?id=1737
Anione,http://120.53.103.239/五七.php?id=1738
Toon!verse,http://120.53.103.239/五七.php?id=1739
KidsTalkTalk,http://120.53.103.239/五七.php?id=1740
BoyaoTV,http://120.53.103.239/五七.php?id=1741
BravoKids,http://120.53.103.239/五七.php?id=1742
DaekyoChildrensTV,http://120.53.103.239/五七.php?id=1743
BilliardsTV,http://120.53.103.239/五七.php?id=1744
tVN Sports,http://120.53.103.239/五七.php?id=1745
Spotv Prime,http://120.53.103.239/五七.php?id=1746
Inet,http://120.53.103.239/五七.php?id=1747
EBS 1,http://120.53.103.239/五七.php?id=1748
EBS 2,http://120.53.103.239/五七.php?id=1749
EBS Kids,http://120.53.103.239/五七.php?id=1750
EBS+1,http://120.53.103.239/五七.php?id=1751
EBS+2,http://120.53.103.239/五七.php?id=1752
KoreanCentralTelevision,http://120.53.103.239/五七.php?id=1753
ChannelChina,http://120.53.103.239/五七.php?id=1754
Screen,http://120.53.103.239/五七.php?id=1755
BrainTV,http://120.53.103.239/五七.php?id=1756
BTN BuddhistTV,http://120.53.103.239/五七.php?id=1757
CTS,http://120.53.103.239/五七.php?id=1758
GTV Luxury,http://120.53.103.239/五七.php?id=1759

日本✴️,#genre#
NHK総合ロゴ,http://120.53.103.239/五七.php?id=1760
NHKEテレロゴ,http://120.53.103.239/五七.php?id=1761
日本テレビ,http://120.53.103.239/五七.php?id=1762
日テレプラス,http://120.53.103.239/五七.php?id=1763
日テレ News,http://120.53.103.239/五七.php?id=1764
TBSテレビ,http://120.53.103.239/五七.php?id=1765
ＴＢＳニュースバード,http://120.53.103.239/五七.php?id=1766
フジテレビ,http://120.53.103.239/五七.php?id=1767
テレビ朝日,http://120.53.103.239/五七.php?id=1768
テレビ東京,http://120.53.103.239/五七.php?id=1769
TOKYOMX1,http://120.53.103.239/五七.php?id=1770
TOKYOMX2,http://120.53.103.239/五七.php?id=1771
MBS毎日放送,http://120.53.103.239/五七.php?id=1772
ABCテレビ,http://120.53.103.239/五七.php?id=1773
ABCテレビ報道,http://120.53.103.239/五七.php?id=1774
関西テレビ,http://120.53.103.239/五七.php?id=1775
よみうりテレビ,http://120.53.103.239/五七.php?id=1776
テレビ大阪,http://120.53.103.239/五七.php?id=1777
サンテレビ,http://120.53.103.239/五七.php?id=1778
NHKBS,http://120.53.103.239/五七.php?id=1779
KBS京都,http://120.53.103.239/五七.php?id=1780
BS朝日,http://120.53.103.239/五七.php?id=1781
BS-TBS,http://120.53.103.239/五七.php?id=1782
BSテレ東,http://120.53.103.239/五七.php?id=1783
BSジャパン,http://120.53.103.239/五七.php?id=1784
BSフジ,http://120.53.103.239/五七.php?id=1785
BS 11,http://120.53.103.239/五七.php?id=1786
BS 12トゥエルビ,http://120.53.103.239/五七.php?id=1787
WOWOWプライム,http://120.53.103.239/五七.php?id=1788
WOWOWライブ,http://120.53.103.239/五七.php?id=1789
WOWOWシネマ,http://120.53.103.239/五七.php?id=1790
WOWOWプラス,http://120.53.103.239/五七.php?id=1791
スターチャンネル1,http://120.53.103.239/五七.php?id=1792
ＴＢＳチャンネル１,http://120.53.103.239/五七.php?id=1793
ＴＢＳチャンネル２,http://120.53.103.239/五七.php?id=1794
テレ朝チャンネル１,http://120.53.103.239/五七.php?id=1795
テレ朝チャンネル２,http://120.53.103.239/五七.php?id=1796
フジテレビＯＮＥ,http://120.53.103.239/五七.php?id=1797
フジテレビＴＷＯ,http://120.53.103.239/五七.php?id=1798
フジテレビＮＥＸＴ,http://120.53.103.239/五七.php?id=1799
グリーンチャンネル,http://120.53.103.239/五七.php?id=1800
チャンネル銀河,http://120.53.103.239/五七.php?id=1801
釣りビジョン,http://120.53.103.239/五七.php?id=1802
JSPORTS 1,http://120.53.103.239/五七.php?id=1803
JSPORTS 2,http://120.53.103.239/五七.php?id=1804
JSPORTS 3,http://120.53.103.239/五七.php?id=1805
JSPORTS 4,http://120.53.103.239/五七.php?id=1806
GaoraSports,http://120.53.103.239/五七.php?id=1807
GolfNetwork,http://120.53.103.239/五七.php?id=1808
スポーツライブ＋,http://120.53.103.239/五七.php?id=1809
日テレジータス,http://120.53.103.239/五七.php?id=1810
日本映画専門チャンネル,http://120.53.103.239/五七.php?id=1811
旅チャンネル,http://120.53.103.239/五七.php?id=1812
ホームドラマチャンネル,http://120.53.103.239/五七.php?id=1813
鉄道チャンネル,http://120.53.103.239/五七.php?id=1814
東映チャンネル,http://120.53.103.239/五七.php?id=1815
衛星劇場,http://120.53.103.239/五七.php?id=1816
ファミリー劇場,http://120.53.103.239/五七.php?id=1817
時代劇専門チャンネル,http://120.53.103.239/五七.php?id=1818
MONDO TV,http://120.53.103.239/五七.php?id=1819
NHKBS1,http://120.53.103.239/五七.php?id=1820
スカイA,http://120.53.103.239/五七.php?id=1821
ザシネマ,http://120.53.103.239/五七.php?id=1822
NHK,http://120.53.103.239/五七.php?id=1823
NHK World Japan,http://120.53.103.239/五七.php?id=1824
NHK BSP4K,http://120.53.103.239/五七.php?id=1825
スーパー！ドラマＴＶ,http://120.53.103.239/五七.php?id=1826
ムービープラス,http://120.53.103.239/五七.php?id=1827
映画・チャンネルNECO,http://120.53.103.239/五七.php?id=1828
ＡＸＮ 海外ドラマ,http://120.53.103.239/五七.php?id=1829
AXNミステリー,http://120.53.103.239/五七.php?id=1830
DLife,http://120.53.103.239/五七.php?id=1831
FightingTV サムライ,http://120.53.103.239/五七.php?id=1832
ダンスチャンネル by エンタメ～テレ,http://120.53.103.239/五七.php?id=1833
エンタメ～テレ☆シネドラバラエティ,http://120.53.103.239/五七.php?id=1834
100％ヒッツ！スペースシャワーTV プラス,http://120.53.103.239/五七.php?id=1835
女性チャンネル♪LaLa TV,http://120.53.103.239/五七.php?id=1836
スカチャン1,http://120.53.103.239/五七.php?id=1837
歌謡ポップスチャンネル,http://120.53.103.239/五七.php?id=1838
MusicJapanTV,http://120.53.103.239/五七.php?id=1839
MUSIC ON! TV（エムオン!）,http://120.53.103.239/五七.php?id=1840
ミュージック・エア,http://120.53.103.239/五七.php?id=1841

秘密✴️,#genre#
松视1台,http://120.53.103.239/五七.php?id=1280
松视2台,http://120.53.103.239/五七.php?id=1281
松视3台,http://120.53.103.239/五七.php?id=1282
彩虹e台,http://120.53.103.239/五七.php?id=1283
K 頻道,http://120.53.103.239/五七.php?id=1284
彩虹电影台,http://120.53.103.239/五七.php?id=1285
潘朵啦玩美台,http://120.53.103.239/五七.php?id=1286
惊艳成人电影,http://120.53.103.239/五七.php?id=1287
香蕉台,http://120.53.103.239/五七.php?id=1288
OursHD1,http://120.53.103.239/五七.php?id=1289
OursHD3,http://120.53.103.239/五七.php?id=1290
Happy,http://120.53.103.239/五七.php?id=1291
JStar极限电影,http://120.53.103.239/五七.php?id=1292
Playboy KR,http://120.53.103.239/五七.php?id=1293
Midnight,http://120.53.103.239/五七.php?id=1294
Viki HD,http://120.53.103.239/五七.php?id=1295
麻豆AV,http://120.53.103.239/五七.php?id=1296
PIGOO,http://120.53.103.239/五七.php?id=1297
